hour,location,Sonntag,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,address
2,Neumann Forum,0,0,0,0,0,0,0,"Neumannstraße 13, 13189 Berlin"
2,S Pankow-Heinersdorf,0,0,0,0,0,0,0,13187 Berlin
2,PENNY,0,0,0,0,0,0,0,"Wisbyer Str. 38, 13189 Berlin"
3,Brennerberg,1,1,1,1,1,1,1,"Tiroler Str. 33, 13187 Berlin"
3,Kissingen-Stadion,0,0,0,0,0,0,0,"Forchheimer Str. 22, 13189 Berlin"
3,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
3,U Vinetastr.,0,0,0,0,0,0,0,13189 Berlin
3,S+U Pankow,0,1,1,2,2,9,6,13187 Berlin
3,Wochenmarkt Pankow,0,0,0,0,0,0,0,"Breite Str. 17, 13187 Berlin"
3,REWE,0,0,0,0,0,0,0,"Eschengraben 47, 13189 Berlin"
3,Neumann Forum,0,0,0,0,0,0,0,"Neumannstraße 13, 13189 Berlin"
3,S Pankow-Heinersdorf,0,10,0,7,2,5,0,13187 Berlin
3,PENNY,0,0,0,0,0,0,0,"Wisbyer Str. 38, 13189 Berlin"
